Date,Region,Rainfall (mm),Temperature (°C),Soil Type,Soil pH,Soil Nutrients (N-P-K),Latitude,Longitude,Altitude (m),Planting Date,Fertilizer Usage (kg/ha),Irrigation (mm),Pest & Disease Prevalence (%),Previous Year Yield (kg/ha),Maize Seed Variety,Market Price (KES/kg),Planting Density (plants/m²),Harvesting Date,Crop Health,Topography,Satellite Imagery,Price of Fertilizer (KES/kg)
2023-04-01,Nairobi,40,21.9,Clay,5.7,29-33-27,0.8937,39.811,1157,2023-03-01,129,88,20,476,Local-1,21.1,5,2023-07-15,Poor,Flat,Drought,138
2023-04-01,Nairobi,63,28.8,Sandy,7.3,16-13-21,-2.7764,36.9881,2585,2023-03-01,58,20,20,338,Hybrid-2,22.4,4,2023-07-15,Good,Hilly,Flooded,166
2023-04-01,Nakuru,108,26.9,Clay,5.6,16-23-36,2.8803,38.7683,1998,2023-03-01,81,20,17,287,Local-1,20.6,4,2023-07-15,Poor,Wet,Flooded,120
2023-04-01,Eldoret,120,23.3,Sandy,6.9,42-30-10,-0.3666,34.9064,1593,2023-03-01,89,6,1,492,Hybrid-2,21.2,7,2023-07-15,Average,Flat,Normal,175
2023-04-01,Nakuru,40,28.9,Loam,6.8,12-20-46,0.2915,34.0078,2077,2023-03-01,146,51,0,312,Hybrid-2,20.7,7,2023-07-15,Average,Flat,Flooded,147
2023-04-01,Mombasa,127,25.7,Sandy,5.6,13-25-49,2.4538,39.7798,2469,2023-03-01,130,67,1,273,Hybrid-2,23.3,4,2023-07-15,Poor,Flat,Normal,176
2023-04-01,Nairobi,91,25.8,Clay,6.1,14-50-41,0.8404,37.8864,1984,2023-03-01,146,6,13,229,Local-1,21.7,4,2023-07-15,Good,Wet,Flooded,159
2023-04-01,Nakuru,32,23.3,Loam,6.1,20-35-47,-1.9982,37.2685,2120,2023-03-01,98,41,17,334,Hybrid-2,24.7,5,2023-07-15,Poor,Hilly,Normal,176
2023-04-01,Mombasa,79,28.5,Sandy,5.9,23-32-25,2.2197,36.9815,2379,2023-03-01,67,88,2,201,Local-1,23.7,8,2023-07-15,Good,Wet,Drought,170
2023-04-01,Nakuru,25,26.2,Clay,5.6,48-42-10,3.6027,36.4681,1445,2023-03-01,112,1,10,273,Hybrid-1,19.5,7,2023-07-15,Good,Hilly,Normal,149
2023-04-01,Nairobi,40,21.2,Sandy,7.2,16-23-13,-3.8748,34.9483,2625,2023-03-01,76,12,17,335,Hybrid-2,24.6,6,2023-07-15,Poor,Flat,Flooded,165
2023-04-01,Mombasa,101,26.9,Loam,6.6,31-45-33,-1.5086,34.1932,1100,2023-03-01,78,79,2,378,Hybrid-2,24.8,6,2023-07-15,Good,Hilly,Normal,110
2023-04-01,Nairobi,30,23.5,Sandy,5.9,46-12-39,2.4384,37.6161,2915,2023-03-01,130,48,3,390,Local-1,20.1,7,2023-07-15,Average,Flat,Normal,136
2023-04-01,Mombasa,139,27.8,Clay,6.2,21-43-10,-3.9463,36.9776,1183,2023-03-01,53,27,13,218,Hybrid-2,23.9,7,2023-07-15,Average,Wet,Normal,151
2023-04-01,Nakuru,148,26.5,Loam,6.6,29-34-35,0.4331,38.9921,2339,2023-03-01,78,45,13,242,Hybrid-2,18.6,4,2023-07-15,Poor,Flat,Flooded,101
2023-04-01,Eldoret,138,24.8,Clay,6.6,47-12-41,0.9796,36.0024,1082,2023-03-01,68,17,4,270,Local-1,21.4,5,2023-07-15,Average,Wet,Normal,175
2023-04-01,Kisumu,104,25.3,Clay,6.7,37-11-13,-2.1739,39.3376,1815,2023-03-01,52,52,9,432,Hybrid-2,21.2,5,2023-07-15,Good,Flat,Flooded,102
2023-04-01,Mombasa,122,25.6,Loam,5.5,12-31-16,3.8882,34.9056,2287,2023-03-01,119,34,7,238,Hybrid-2,19.2,5,2023-07-15,Poor,Flat,Normal,153
2023-04-01,Mombasa,146,26.5,Clay,6.7,46-24-39,-1.8178,37.8648,1843,2023-03-01,55,54,18,379,Hybrid-2,22.0,5,2023-07-15,Average,Wet,Flooded,147
2023-04-01,Kisumu,131,25.8,Clay,6.2,16-45-16,-0.7732,35.0732,2645,2023-03-01,124,32,15,269,Hybrid-2,21.9,7,2023-07-15,Average,Hilly,Drought,120
2023-04-01,Nairobi,24,28.1,Loam,5.5,17-50-16,0.1798,37.6846,2052,2023-03-01,76,48,5,236,Hybrid-2,19.4,6,2023-07-15,Poor,Wet,Normal,124
2023-04-01,Nakuru,99,28.8,Clay,5.9,47-34-28,-1.0404,39.5696,2913,2023-03-01,139,88,20,401,Hybrid-2,21.1,4,2023-07-15,Poor,Wet,Normal,143
2023-04-01,Eldoret,70,27.7,Clay,5.9,40-20-23,-0.0177,35.8549,2019,2023-03-01,104,40,8,373,Local-1,20.1,4,2023-07-15,Poor,Wet,Normal,195
2023-04-01,Nairobi,25,27.7,Clay,5.5,25-39-49,3.8337,38.0515,1309,2023-03-01,137,93,4,243,Hybrid-2,19.2,6,2023-07-15,Average,Flat,Flooded,174
2023-04-01,Kisumu,104,29.0,Sandy,6.8,46-20-47,3.1512,35.6507,2031,2023-03-01,125,53,3,344,Local-1,21.8,4,2023-07-15,Good,Wet,Flooded,130
2023-04-01,Kisumu,62,21.7,Loam,6.8,42-11-50,-2.2911,36.5843,1450,2023-03-01,135,40,3,379,Hybrid-1,19.3,7,2023-07-15,Poor,Wet,Flooded,104
2023-04-01,Mombasa,91,24.4,Clay,7.4,45-28-13,-3.2947,34.7583,1137,2023-03-01,60,100,0,343,Hybrid-1,23.8,7,2023-07-15,Good,Hilly,Flooded,141
2023-04-01,Nakuru,35,26.1,Loam,5.9,13-32-50,-2.9539,37.6342,1944,2023-03-01,73,14,0,353,Hybrid-2,18.9,6,2023-07-15,Average,Hilly,Normal,158
2023-04-01,Eldoret,14,25.1,Clay,7.0,10-16-45,-1.8218,39.5453,1651,2023-03-01,124,29,11,422,Hybrid-2,22.9,8,2023-07-15,Good,Flat,Flooded,200
2023-04-01,Nairobi,72,27.5,Sandy,7.1,22-17-21,-2.895,39.9356,1716,2023-03-01,85,12,18,288,Local-1,22.4,4,2023-07-15,Average,Flat,Normal,104
2023-04-01,Kisumu,30,23.8,Clay,5.5,11-23-38,3.4749,37.3423,2795,2023-03-01,87,100,17,287,Hybrid-1,24.6,5,2023-07-15,Good,Hilly,Drought,194
2023-04-01,Eldoret,34,29.7,Loam,7.3,11-18-29,-3.0269,36.7647,2722,2023-03-01,131,27,11,297,Local-1,24.2,4,2023-07-15,Good,Flat,Drought,108
2023-04-01,Nakuru,83,23.8,Loam,7.4,43-27-34,1.2719,36.2256,1199,2023-03-01,114,68,19,332,Local-1,18.9,4,2023-07-15,Good,Flat,Normal,192
2023-04-01,Kisumu,107,21.4,Loam,6.5,19-15-37,-1.5406,37.8723,2838,2023-03-01,98,61,3,288,Hybrid-1,21.3,7,2023-07-15,Average,Flat,Flooded,118
2023-04-01,Kisumu,76,25.5,Loam,6.9,23-16-23,2.037,36.1776,1565,2023-03-01,59,52,5,381,Hybrid-1,24.1,6,2023-07-15,Average,Hilly,Flooded,129
2023-04-01,Kisumu,35,25.6,Clay,6.5,33-31-43,-1.22,37.307,2344,2023-03-01,126,53,10,414,Hybrid-1,22.2,6,2023-07-15,Good,Hilly,Drought,175
2023-04-01,Kisumu,98,28.4,Sandy,6.3,49-30-15,2.2155,35.09,1076,2023-03-01,111,12,14,463,Hybrid-1,25.0,4,2023-07-15,Poor,Flat,Flooded,111
2023-04-01,Mombasa,45,28.1,Loam,5.8,20-20-37,3.3483,37.3796,2278,2023-03-01,75,10,4,444,Local-1,22.6,6,2023-07-15,Good,Flat,Flooded,135
2023-04-01,Kisumu,17,28.3,Loam,5.8,36-26-26,1.8129,38.3892,2790,2023-03-01,61,85,0,286,Hybrid-2,18.6,6,2023-07-15,Average,Wet,Flooded,196
2023-04-01,Nakuru,133,29.4,Loam,5.8,37-30-24,0.1753,39.4057,1707,2023-03-01,110,76,2,374,Hybrid-2,18.2,7,2023-07-15,Poor,Wet,Drought,100
2023-04-01,Nairobi,62,26.8,Clay,7.0,18-46-32,3.5259,34.4072,1192,2023-03-01,78,84,17,476,Local-1,19.8,6,2023-07-15,Average,Hilly,Flooded,175
2023-04-01,Mombasa,133,26.8,Clay,6.2,33-33-17,1.5335,35.573,2452,2023-03-01,76,89,19,370,Hybrid-1,22.0,8,2023-07-15,Good,Hilly,Drought,112
2023-04-01,Kisumu,125,27.0,Clay,6.7,41-20-35,-1.9134,35.4058,1401,2023-03-01,84,55,9,494,Local-1,23.9,4,2023-07-15,Poor,Hilly,Normal,190
2023-04-01,Kisumu,130,23.4,Clay,6.4,37-21-44,-3.6647,38.1637,2238,2023-03-01,78,87,2,394,Local-1,21.6,8,2023-07-15,Poor,Flat,Normal,157
2023-04-01,Kisumu,138,29.7,Sandy,6.3,23-34-38,2.9947,36.8303,1977,2023-03-01,146,93,6,428,Hybrid-1,20.8,8,2023-07-15,Good,Flat,Normal,200
2023-04-01,Nairobi,13,23.4,Clay,6.4,21-43-19,1.6517,38.3633,2279,2023-03-01,87,16,14,403,Hybrid-1,19.9,8,2023-07-15,Average,Wet,Drought,189
2023-04-01,Nairobi,26,22.9,Sandy,6.6,48-13-26,2.6514,35.1011,1364,2023-03-01,115,93,18,328,Hybrid-1,23.2,4,2023-07-15,Poor,Flat,Drought,199
2023-04-01,Mombasa,0,28.4,Sandy,6.7,50-44-42,3.524,38.4389,2712,2023-03-01,104,60,11,312,Local-1,24.9,8,2023-07-15,Good,Flat,Drought,149
2023-04-01,Eldoret,3,26.1,Sandy,6.9,38-41-18,0.2897,35.6793,1527,2023-03-01,105,98,6,213,Hybrid-1,18.4,8,2023-07-15,Average,Wet,Normal,172
2023-04-01,Mombasa,103,22.5,Clay,6.0,34-22-41,-3.8931,38.2798,1080,2023-03-01,144,7,20,373,Hybrid-1,19.7,8,2023-07-15,Good,Flat,Drought,197
2023-04-01,Nakuru,59,27.7,Sandy,5.6,14-15-20,-2.6934,36.3988,2948,2023-03-01,97,14,12,398,Local-1,24.8,4,2023-07-15,Good,Flat,Drought,181
2023-04-01,Nairobi,62,24.0,Sandy,7.5,47-47-39,-3.9151,38.8947,1141,2023-03-01,61,55,5,301,Local-1,22.3,7,2023-07-15,Average,Flat,Drought,175
2023-04-01,Nakuru,0,28.8,Clay,7.3,17-37-31,0.4661,39.6364,2389,2023-03-01,59,26,20,310,Hybrid-2,20.4,6,2023-07-15,Average,Hilly,Flooded,127
2023-04-01,Nairobi,79,23.6,Loam,6.2,11-41-45,1.321,34.0746,1521,2023-03-01,85,30,20,241,Local-1,21.6,4,2023-07-15,Poor,Flat,Drought,124
2023-04-01,Eldoret,84,29.3,Clay,5.5,21-40-16,-3.8567,36.0364,1627,2023-03-01,109,42,17,358,Hybrid-1,18.5,4,2023-07-15,Good,Hilly,Flooded,187
2023-04-01,Nairobi,6,20.3,Loam,6.4,32-49-14,-0.5013,37.6456,2523,2023-03-01,58,92,20,211,Local-1,24.8,7,2023-07-15,Good,Hilly,Drought,169
2023-04-01,Nakuru,52,23.9,Sandy,6.6,13-21-42,2.2709,37.7126,1617,2023-03-01,117,76,4,278,Hybrid-1,18.6,7,2023-07-15,Good,Hilly,Flooded,110
2023-04-01,Kisumu,132,28.0,Clay,6.7,19-29-24,3.1088,35.9886,2886,2023-03-01,84,96,16,443,Local-1,19.6,4,2023-07-15,Poor,Hilly,Drought,154
2023-04-01,Nakuru,133,26.6,Clay,6.6,15-19-17,-3.6698,38.9641,2462,2023-03-01,51,6,0,421,Local-1,23.8,7,2023-07-15,Poor,Hilly,Drought,124
2023-04-01,Mombasa,17,20.9,Loam,5.7,27-10-12,-2.4375,36.3437,1289,2023-03-01,58,41,4,351,Hybrid-2,18.9,7,2023-07-15,Average,Flat,Normal,189
2023-04-01,Nairobi,72,21.6,Sandy,6.6,18-36-23,-0.2555,39.8342,2116,2023-03-01,142,100,15,345,Hybrid-1,24.0,8,2023-07-15,Average,Wet,Drought,164
2023-04-01,Eldoret,38,25.6,Clay,7.2,41-38-10,-3.2126,38.9136,1834,2023-03-01,102,64,18,362,Hybrid-1,20.9,6,2023-07-15,Good,Flat,Flooded,138
2023-04-01,Eldoret,109,25.5,Clay,5.6,14-10-34,0.1405,36.0924,2649,2023-03-01,138,6,4,208,Hybrid-2,20.9,8,2023-07-15,Poor,Flat,Normal,188
2023-04-01,Kisumu,129,24.0,Loam,7.3,49-34-40,-3.7567,34.3416,1314,2023-03-01,73,73,17,465,Hybrid-2,19.5,8,2023-07-15,Poor,Wet,Normal,148
2023-04-01,Kisumu,89,28.5,Sandy,7.4,25-21-32,1.5809,35.4512,1820,2023-03-01,75,78,16,394,Local-1,24.7,8,2023-07-15,Good,Flat,Flooded,161
2023-04-01,Mombasa,19,26.7,Loam,6.4,10-21-29,0.7024,38.0641,2649,2023-03-01,100,13,18,303,Hybrid-2,20.9,8,2023-07-15,Average,Flat,Drought,112
2023-04-01,Mombasa,28,26.5,Loam,7.2,44-47-17,-2.2989,39.4029,1130,2023-03-01,88,67,20,354,Hybrid-2,18.6,6,2023-07-15,Poor,Hilly,Drought,180
2023-04-01,Mombasa,23,23.8,Sandy,6.7,49-28-30,-0.9235,36.7111,2163,2023-03-01,93,9,20,344,Hybrid-2,24.3,6,2023-07-15,Poor,Wet,Flooded,167
2023-04-01,Mombasa,148,29.8,Sandy,5.6,15-49-10,-1.8875,37.3743,2057,2023-03-01,74,65,12,214,Hybrid-2,18.9,6,2023-07-15,Poor,Wet,Drought,160
2023-04-01,Nakuru,135,24.6,Sandy,6.2,40-18-49,0.0481,37.241,1941,2023-03-01,84,33,10,461,Local-1,19.9,5,2023-07-15,Average,Wet,Flooded,127
2023-04-01,Eldoret,0,23.1,Sandy,6.0,14-30-38,1.8233,37.3269,2568,2023-03-01,82,76,18,380,Hybrid-1,21.4,4,2023-07-15,Average,Flat,Flooded,119
2023-04-01,Nairobi,71,25.7,Loam,6.4,24-49-47,-3.1007,39.0683,1019,2023-03-01,65,91,8,395,Hybrid-1,18.4,8,2023-07-15,Poor,Flat,Flooded,185
2023-04-01,Nairobi,144,21.0,Loam,7.2,46-47-12,1.0113,39.5543,2988,2023-03-01,84,16,9,448,Hybrid-1,24.9,5,2023-07-15,Poor,Wet,Normal,172
2023-04-01,Nakuru,136,22.7,Clay,5.6,35-11-38,-3.8982,35.7468,1359,2023-03-01,59,93,1,304,Local-1,18.8,6,2023-07-15,Poor,Hilly,Normal,136
2023-04-01,Kisumu,126,20.0,Loam,5.6,28-48-50,1.1011,39.9306,2642,2023-03-01,102,0,9,212,Hybrid-1,22.9,4,2023-07-15,Average,Wet,Drought,153
2023-04-01,Nakuru,26,26.0,Clay,6.8,46-44-35,2.2363,37.4025,1577,2023-03-01,71,69,15,496,Hybrid-1,21.5,8,2023-07-15,Good,Flat,Flooded,169
2023-04-01,Eldoret,91,20.3,Sandy,6.1,21-18-13,0.8584,35.302,1462,2023-03-01,106,69,3,289,Hybrid-1,18.6,5,2023-07-15,Poor,Hilly,Flooded,114
2023-04-01,Nairobi,144,27.0,Sandy,7.1,24-33-29,1.7261,34.7348,2482,2023-03-01,79,25,2,390,Hybrid-1,19.3,4,2023-07-15,Poor,Flat,Drought,127
2023-04-01,Nairobi,73,21.9,Sandy,6.9,28-11-28,-3.4136,36.3334,1018,2023-03-01,100,30,4,348,Local-1,23.4,6,2023-07-15,Average,Wet,Flooded,144
2023-04-01,Nakuru,91,20.3,Sandy,7.4,18-35-33,-1.2869,37.8476,1920,2023-03-01,106,70,0,409,Local-1,19.0,4,2023-07-15,Average,Flat,Normal,121
2023-04-01,Kisumu,7,21.5,Sandy,6.7,26-10-47,1.7094,36.7508,2431,2023-03-01,140,80,8,370,Hybrid-1,18.8,5,2023-07-15,Average,Hilly,Normal,125
2023-04-01,Nairobi,45,28.4,Clay,5.6,44-17-19,-0.7394,34.5278,2061,2023-03-01,56,80,4,445,Local-1,22.3,4,2023-07-15,Good,Wet,Drought,150
2023-04-01,Mombasa,133,24.5,Clay,7.4,39-44-36,0.0013,39.7733,2800,2023-03-01,60,47,4,378,Hybrid-1,18.5,6,2023-07-15,Good,Flat,Normal,142
2023-04-01,Eldoret,4,22.2,Loam,6.3,10-44-14,-3.4231,35.9668,1838,2023-03-01,106,75,9,397,Local-1,20.8,5,2023-07-15,Good,Wet,Flooded,180
2023-04-01,Nairobi,145,20.3,Clay,6.7,48-14-32,3.4769,39.2514,1092,2023-03-01,76,34,6,465,Hybrid-1,20.1,6,2023-07-15,Poor,Flat,Normal,197
2023-04-01,Nairobi,1,24.6,Clay,6.7,25-26-32,0.4838,38.4913,1812,2023-03-01,69,75,9,283,Hybrid-2,21.0,4,2023-07-15,Good,Hilly,Flooded,189
2023-04-01,Mombasa,128,27.4,Sandy,6.6,48-28-27,3.1446,37.3395,2059,2023-03-01,133,61,13,331,Local-1,21.1,5,2023-07-15,Average,Hilly,Normal,161
2023-04-01,Nakuru,122,22.4,Loam,7.2,13-46-41,-1.189,34.9279,1120,2023-03-01,63,56,0,300,Hybrid-1,19.4,4,2023-07-15,Average,Hilly,Drought,198
2023-04-01,Eldoret,103,28.4,Clay,5.6,46-42-10,1.8247,39.3768,1846,2023-03-01,83,69,19,317,Hybrid-2,23.3,5,2023-07-15,Poor,Wet,Normal,180
2023-04-01,Mombasa,2,23.3,Clay,6.6,49-47-37,1.9283,34.1133,1967,2023-03-01,145,75,8,478,Hybrid-1,22.3,8,2023-07-15,Good,Hilly,Drought,133
2023-04-01,Eldoret,90,23.3,Clay,6.3,37-49-20,-1.667,36.1785,2524,2023-03-01,143,41,1,300,Hybrid-1,20.8,4,2023-07-15,Average,Flat,Flooded,177
2023-04-01,Eldoret,4,23.4,Sandy,6.9,44-46-14,0.8658,38.3165,1411,2023-03-01,81,37,8,450,Local-1,19.7,7,2023-07-15,Poor,Hilly,Normal,172
2023-04-01,Nakuru,7,28.3,Sandy,6.8,47-50-34,2.5153,38.1216,1206,2023-03-01,119,53,6,399,Hybrid-2,19.2,4,2023-07-15,Good,Wet,Flooded,122
2023-04-01,Nairobi,124,23.0,Sandy,5.6,38-31-42,3.046,34.738,2580,2023-03-01,57,27,16,477,Hybrid-2,19.2,8,2023-07-15,Average,Flat,Drought,144
2023-04-01,Nairobi,14,25.2,Loam,6.0,10-44-41,-1.9665,34.717,1129,2023-03-01,70,26,8,323,Hybrid-2,24.1,4,2023-07-15,Average,Hilly,Drought,135
2023-04-01,Nairobi,113,26.5,Loam,6.4,24-42-36,1.0753,37.0357,1600,2023-03-01,55,67,0,442,Hybrid-2,18.9,4,2023-07-15,Poor,Wet,Drought,166
2023-04-01,Eldoret,123,21.1,Clay,6.1,16-35-35,-2.0686,37.1853,1041,2023-03-01,146,58,8,358,Hybrid-2,18.5,7,2023-07-15,Good,Hilly,Drought,162
2023-04-01,Nairobi,141,23.6,Loam,6.8,29-23-27,2.7106,34.1732,1006,2023-03-01,99,20,8,250,Local-1,24.0,7,2023-07-15,Poor,Flat,Drought,126
2023-04-01,Mombasa,22,20.3,Clay,6.1,42-40-33,-0.3695,37.0293,2561,2023-03-01,150,99,17,242,Local-1,19.6,7,2023-07-15,Average,Hilly,Flooded,149
2023-04-01,Mombasa,107,29.9,Loam,7.5,23-35-30,-3.6297,36.5665,2635,2023-03-01,141,20,18,309,Hybrid-1,18.2,7,2023-07-15,Average,Wet,Normal,110
2023-04-01,Nairobi,135,25.2,Clay,6.0,38-24-34,-3.4938,37.2638,1393,2023-03-01,121,66,17,371,Local-1,25.0,4,2023-07-15,Good,Flat,Flooded,133
2023-04-01,Nakuru,150,28.2,Loam,6.4,25-35-40,-2.1218,34.554,1936,2023-03-01,78,40,10,379,Local-1,19.4,7,2023-07-15,Good,Flat,Normal,195
2023-04-01,Kisumu,76,23.6,Sandy,7.2,35-10-45,2.7356,39.4554,1274,2023-03-01,61,73,4,305,Local-1,24.6,6,2023-07-15,Average,Hilly,Drought,185
2023-04-01,Mombasa,9,23.9,Sandy,7.0,18-17-27,0.6824,36.0223,2715,2023-03-01,107,10,8,418,Local-1,22.2,8,2023-07-15,Average,Wet,Normal,196
2023-04-01,Mombasa,36,22.9,Loam,6.7,16-14-47,-2.0963,36.247,1559,2023-03-01,66,52,1,476,Hybrid-2,23.7,4,2023-07-15,Average,Flat,Normal,187
2023-04-01,Eldoret,102,21.0,Sandy,5.8,49-10-36,1.734,34.7298,1054,2023-03-01,134,54,7,412,Hybrid-2,18.1,8,2023-07-15,Poor,Hilly,Flooded,181
2023-04-01,Nairobi,53,29.4,Clay,6.9,16-46-11,0.161,37.4203,2909,2023-03-01,64,13,9,389,Hybrid-2,22.9,4,2023-07-15,Poor,Hilly,Drought,160
2023-04-01,Kisumu,39,23.7,Loam,5.7,33-23-45,1.4953,36.9086,2653,2023-03-01,58,55,15,346,Hybrid-2,18.4,7,2023-07-15,Poor,Flat,Normal,175
2023-04-01,Kisumu,36,29.3,Loam,5.5,12-49-12,-3.0696,38.5894,2492,2023-03-01,65,38,18,451,Hybrid-1,18.7,4,2023-07-15,Good,Wet,Drought,176
2023-04-01,Mombasa,46,27.1,Clay,6.7,45-39-10,0.3014,39.9102,1238,2023-03-01,56,58,2,214,Local-1,23.4,5,2023-07-15,Good,Hilly,Flooded,194
2023-04-01,Kisumu,78,28.0,Loam,6.0,47-19-46,0.092,34.108,1087,2023-03-01,149,13,12,475,Local-1,24.1,7,2023-07-15,Average,Flat,Normal,141
2023-04-01,Mombasa,31,28.2,Sandy,5.9,10-12-35,-0.5576,39.4378,2138,2023-03-01,137,73,1,325,Hybrid-2,18.9,5,2023-07-15,Average,Wet,Flooded,127
2023-04-01,Eldoret,64,21.0,Loam,5.7,47-39-13,-0.8071,39.587,1858,2023-03-01,113,3,15,291,Hybrid-2,23.2,4,2023-07-15,Good,Flat,Normal,156
2023-04-01,Nakuru,131,20.0,Loam,6.7,24-12-38,3.805,39.972,2437,2023-03-01,63,38,2,476,Hybrid-1,20.2,8,2023-07-15,Good,Flat,Normal,103
2023-04-01,Nakuru,42,24.6,Clay,5.5,48-41-32,-2.9422,35.0525,1238,2023-03-01,55,97,6,301,Hybrid-2,24.1,5,2023-07-15,Good,Hilly,Normal,167
2023-04-01,Nakuru,47,28.7,Loam,6.3,28-34-29,2.7123,35.8195,2796,2023-03-01,105,44,11,238,Hybrid-1,20.9,7,2023-07-15,Good,Wet,Flooded,143
2023-04-01,Eldoret,97,27.9,Sandy,7.2,46-29-49,-2.3314,38.6397,2195,2023-03-01,72,93,17,465,Local-1,22.9,6,2023-07-15,Poor,Wet,Flooded,125
2023-04-01,Nairobi,128,25.1,Clay,6.9,27-14-31,2.9678,39.9364,1750,2023-03-01,55,94,18,275,Hybrid-2,19.3,5,2023-07-15,Good,Wet,Flooded,192
2023-04-01,Nairobi,13,24.8,Sandy,7.4,17-21-24,1.2022,35.7871,1918,2023-03-01,94,72,4,407,Local-1,19.6,4,2023-07-15,Average,Flat,Normal,127
2023-04-01,Nakuru,44,25.5,Sandy,7.1,24-26-33,2.828,39.3513,1177,2023-03-01,89,51,4,493,Hybrid-1,23.5,6,2023-07-15,Average,Flat,Drought,115
2023-04-01,Nakuru,18,21.2,Sandy,7.3,26-36-45,-3.0396,34.0518,2180,2023-03-01,83,38,17,435,Hybrid-1,21.2,5,2023-07-15,Average,Flat,Normal,135
2023-04-01,Kisumu,122,26.3,Sandy,7.4,15-39-40,3.2147,36.0468,2299,2023-03-01,136,47,17,263,Local-1,23.7,7,2023-07-15,Good,Hilly,Normal,103
2023-04-01,Eldoret,108,21.4,Sandy,5.8,18-41-14,-3.5389,36.698,2895,2023-03-01,110,71,13,344,Hybrid-2,18.1,8,2023-07-15,Good,Flat,Normal,166
2023-04-01,Nairobi,107,24.4,Clay,5.7,30-24-22,1.249,35.7726,2493,2023-03-01,116,77,3,464,Hybrid-2,19.3,4,2023-07-15,Average,Hilly,Drought,160
2023-04-01,Nairobi,36,20.4,Sandy,6.7,37-27-14,0.1494,39.9261,1265,2023-03-01,70,46,6,370,Local-1,18.4,4,2023-07-15,Good,Wet,Normal,155
2023-04-01,Eldoret,35,29.2,Sandy,5.6,11-12-18,0.0038,36.4778,2267,2023-03-01,119,77,2,282,Hybrid-2,24.9,5,2023-07-15,Poor,Wet,Drought,186
2023-04-01,Mombasa,0,26.1,Sandy,5.5,38-49-16,-1.8074,38.7595,2368,2023-03-01,145,67,3,348,Hybrid-2,21.3,6,2023-07-15,Average,Hilly,Normal,165
